magazine,escort_rcs_m2,escort_detection_range_km,survival,baseline_survival,delta,delta_ci_low,delta_ci_high,shots_at_manned,baseline_shots_at_manned,n_trials
1,0.0001,15.0,0.455,0.4675,-0.012500000000000011,-0.06119135964470747,0.03627533276170301,0.64625,0.5925,800
1,0.0002648969287610527,19.1364109959527,0.455,0.4675,-0.012500000000000011,-0.06119135964470747,0.03627533276170301,0.64625,0.5925,800
1,0.000701703828670383,24.413481720401307,0.45375,0.4675,-0.01375000000000004,-0.06243162673372456,0.03502397880077349,0.64625,0.5925,800
1,0.0018587918911465635,31.145761336251866,0.425,0.4675,-0.04250000000000004,-0.09091607112235688,0.00619995242595428,0.67125,0.5925,800
1,0.004923882631706742,39.73453931415792,0.3275,0.4675,-0.14,-0.18691358640104871,-0.09218292838707544,0.7825,0.5925,800
1,0.013043213867190054,50.69176500337111,0.4875,0.4675,0.019999999999999962,-0.028891436388823084,0.06875653819770673,0.5775,0.5925,800
1,0.03455107294592218,64.6705632809841,0.91,0.4675,0.4425,0.40154307436791414,0.4812327020748647,0.0975,0.5925,800
1,0.09152473108773893,82.50416521897863,0.9925,0.4675,0.525,0.4892604528960048,0.5595762697733124,0.0075,0.5925,800
1,0.24244620170823283,105.25557430055741,0.9925,0.4675,0.525,0.4892604528960048,0.5595762697733124,0.00875,0.5925,800
1,0.6422325422229356,134.28092862870025,0.99125,0.4675,0.5237499999999999,0.4879012978098029,0.5583815657675685,0.01,0.5925,800
1,1.7012542798525891,171.31033594380003,0.995,0.4675,0.5275,0.49198820558886647,0.5619728166880369,0.00625,0.5925,800
1,4.506570337745478,218.55099976501913,0.995,0.4675,0.5275,0.49198820558886647,0.5619728166880369,0.00625,0.5925,800
1,11.937766417144358,278.81878367198453,0.995,0.4675,0.5275,0.49198820558886647,0.5619728166880369,0.00625,0.5925,800
1,31.622776601683793,355.70605584924823,0.995,0.4675,0.5275,0.49198820558886647,0.5619728166880369,0.00625,0.5925,800
2,0.0001,15.0,0.425,0.38125,0.04375000000000001,-0.0043100490737548736,0.0915258971608998,0.65875,0.7075,800
